,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
360413,Ghana,GDP at market prices (current US$),NY.GDP.MKTP.CD,27687333853.98,27252369412.12,13487673505.46,B
364078,Gibraltar,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,A
367743,Greece,GDP at market prices (current US$),NY.GDP.MKTP.CD,272688565302.72,280557779569.99,63034070526.54,A
371408,Greenland,GDP at market prices (current US$),NY.GDP.MKTP.CD,2094152734.00,2308622795.89,458936462.18,D
375073,Grenada,GDP at market prices (current US$),NY.GDP.MKTP.CD,746222173.59,771147000.00,92485932.25,D
378738,Guam,GDP at market prices (current US$),NY.GDP.MKTP.CD,4727333333.33,4781000000.00,410283438.61,D
382403,Guatemala,GDP at market prices (current US$),NY.GDP.MKTP.CD,38094849885.00,38435444160.78,10813188728.11,B
386068,Guinea,GDP at market prices (current US$),NY.GDP.MKTP.CD,5952546741.48,6751003230.30,1885879354.58,C
389733,Guinea-Bissau,GDP at market prices (current US$),NY.GDP.MKTP.CD,792037918.43,838231006.72,230316143.04,D
393398,Guyana,GDP at market prices (current US$),NY.GDP.MKTP.CD,1941875025.09,1991960987.56,781669473.17,D
397063,Haiti,GDP at market prices (current US$),NY.GDP.MKTP.CD,6252100307.62,6566589995.82,1523339428.71,C
400728,Honduras,GDP at market prices (current US$),NY.GDP.MKTP.CD,13884462583.11,14188605680.84,3906858777.20,C
404393,"Hong Kong SAR, China",GDP at market prices (current US$),NY.GDP.MKTP.CD,220717564697.01,216663046728.18,34028779927.49,B
408058,Hungary,GDP at market prices (current US$),NY.GDP.MKTP.CD,123886141755.18,130758299650.62,29810465673.16,B
411723,Iceland,GDP at market prices (current US$),NY.GDP.MKTP.CD,15213029992.33,15076953639.77,3304647209.81,C
415388,India,GDP at market prices (current US$),NY.GDP.MKTP.CD,1306739620963.45,1262526032142.15,482943675604.00,A
419053,Indonesia,GDP at market prices (current US$),NY.GDP.MKTP.CD,592465078185.04,558879506163.60,267445460989.17,A
422718,"Iran, Islamic Rep.",GDP at market prices (current US$),NY.GDP.MKTP.CD,390919258521.80,410065022251.47,156203043117.49,A
426383,Iraq,GDP at market prices (current US$),NY.GDP.MKTP.CD,136013943878.35,131613661510.48,65381168591.52,B
430048,Ireland,GDP at market prices (current US$),NY.GDP.MKTP.CD,225076978558.29,234198436055.97,48247870234.68,B
433713,Isle of Man,GDP at market prices (current US$),NY.GDP.MKTP.CD,5012981237.89,5756728572.68,1742917749.12,D
437378,Israel,GDP at market prices (current US$),NY.GDP.MKTP.CD,207575943074.01,211629862433.93,54729407565.41,B
441043,Italy,GDP at market prices (current US$),NY.GDP.MKTP.CD,2032066363051.54,2127774782450.80,348613963940.62,A
444708,Jamaica,GDP at market prices (current US$),NY.GDP.MKTP.CD,12728755216.73,13007870337.69,1784120970.80,C
448373,Japan,GDP at market prices (current US$),NY.GDP.MKTP.CD,5217435105793.92,5096812760692.66,615720379391.51,A
452038,Jordan,GDP at market prices (current US$),NY.GDP.MKTP.CD,21880560508.19,22896117043.12,8352262493.77,C
455703,Kazakhstan,GDP at market prices (current US$),NY.GDP.MKTP.CD,129532668426.99,124375136694.86,68920866836.32,B
459368,Kenya,GDP at market prices (current US$),NY.GDP.MKTP.CD,34960683132.22,36458332688.33,13227102022.93,B
463033,Kiribati,GDP at market prices (current US$),NY.GDP.MKTP.CD,139389683.19,134940199.10,38469187.99,D
466698,"Korea, Dem. People’s Rep.",GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,A
470363,"Korea, Rep.",GDP at market prices (current US$),NY.GDP.MKTP.CD,1032377622575.31,1053148397920.61,213392865122.72,A
474028,Kosovo,GDP at market prices (current US$),NY.GDP.MKTP.CD,5186383875.77,5670640464.39,1592632942.71,C
