,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
59931,Middle East & North Africa (excluding high income),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
63596,Middle income,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
67261,North America,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
70926,OECD members,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
74591,South Asia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
78256,Sub-Saharan Africa,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
81921,Sub-Saharan Africa (excluding high income),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
85586,Upper middle income,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
89251,World,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
92916,Afghanistan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,71.21,71.21,,B
96581,Albania,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,12.99,12.99,,D
100246,Algeria,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
103911,American Samoa,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
107576,Andorra,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,20.31,15.94,8.61,C
111241,Angola,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,90.12,90.12,6.54,A
114906,Antigua and Barbuda,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,15.63,15.63,,D
118571,Argentina,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,15.46,16.09,1.93,D
122236,Armenia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,7.25,7.37,0.44,D
125901,Aruba,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,54.72,39.17,51.10,B
129566,Australia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,21.22,20.56,1.96,C
133231,Austria,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,41.67,41.58,4.45,B
136896,Azerbaijan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,15.22,15.75,5.65,D
140561,"Bahamas, The",Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
144226,Bahrain,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,0.00,0.00,,D
147891,Bangladesh,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,29.05,30.83,7.78,C
151556,Barbados,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,37.63,38.71,4.97,B
155221,Belarus,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,18.56,15.51,5.95,D
158886,Belgium,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,34.50,34.32,1.14,C
162551,Belize,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,27.80,27.01,3.81,C
166216,Benin,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,107.34,95.40,41.87,A
169881,Bermuda,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,18.44,18.44,,D
173546,Bhutan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,98.53,87.38,32.06,A
177211,Bolivia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,47.24,47.24,,B
180876,Bosnia and Herzegovina,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
184541,Botswana,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,246.00,252.78,30.94,A
188206,Brazil,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,31.89,28.10,9.04,C
191871,British Virgin Islands,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
195536,Brunei Darussalam,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,31.63,31.63,,C
199201,Bulgaria,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,18.78,17.36,3.87,D
202866,Burkina Faso,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,203.63,219.59,27.95,A
206531,Burundi,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,416.97,356.64,175.84,A
210196,Cabo Verde,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,50.24,43.82,19.12,B
213861,Cambodia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,6.90,6.60,1.80,D
217526,Cameroon,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,38.66,34.69,16.59,B
221191,Canada,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
224856,Cayman Islands,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
228521,Central African Republic,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,147.22,113.44,85.25,A
232186,Chad,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,204.00,198.11,41.36,A
235851,Channel Islands,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
239516,Chile,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,13.78,13.54,2.80,D
243181,China,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
246846,Colombia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,24.69,24.55,4.08,C
250511,Comoros,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,52.11,50.51,4.75,B
254176,"Congo, Dem. Rep.",Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,80.71,80.71,,A
257841,"Congo, Rep.",Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,83.70,83.70,,A
261506,Costa Rica,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,30.79,30.17,1.30,C
265171,Cote d'Ivoire,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,167.01,136.02,81.92,A
268836,Croatia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,28.10,25.92,6.36,C
272501,Cuba,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,55.91,47.24,27.53,B
276166,Curacao,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,18.19,18.19,,D
279831,Cyprus,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,46.74,50.31,8.12,B
283496,Czech Republic,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,25.63,24.60,3.71,C
287161,Denmark,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,52.74,52.19,6.66,B
290826,Djibouti,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,190.86,190.86,,A
